director,release_year,movie_id,title,weighted_rating
Kevin Spacey,2004,6478,Beyond the Sea,6.115365028381348
Kevin Spacey,1996,8744,Albino Alligator,6.071195125579834
Boaz Yakin,2015,272878,Max,6.251238822937012
Boaz Yakin,2012,72387,Safe,6.187246799468994
Boaz Yakin,2000,10637,Remember the Titans,6.696000099182129
Katt Shea,1999,7341,The Rage: Carrie 2,6.02036714553833
Bill Condon,2013,162903,The Fifth Estate,5.9850945472717285
Bill Condon,2012,50620,The Twilight Saga: Breaking Dawn - Part 2,6.098172187805176
Bill Condon,2006,1125,Dreamgirls,6.209074974060059
Bill Condon,2004,11184,Kinsey,6.154201984405518
Bill Condon,1998,3033,Gods and Monsters,6.148345947265625
Joseph Zito,1985,15983,Invasion U.S.A.,6.054741859436035
Joseph Zito,1984,9730,Friday the 13th: The Final Chapter,6.054999828338623
Jaco Booyens,2014,433715,8 Days,6.093305587768555
Louis Morneau,1999,10496,Bats,6.023118495941162
Simon Wells,2011,50321,Mars Needs Moms,5.991347312927246
Simon Wells,2002,2135,The Time Machine,5.976905822753906
Simon Wells,1998,9837,The Prince of Egypt,6.418400764465332
Joey Lauren Adams,2006,7547,Come Early Morning,6.091310501098633
Paul Tibbitt,2015,228165,The SpongeBob Movie: Sponge Out of Water,5.967628002166748
Peter Hewitt,2006,14113,Zoom,5.946051120758057
Peter Hewitt,2004,8920,Garfield,5.681551456451416
Peter Hewitt,1997,9449,The Borrowers,6.057111740112305
Peter Hewitt,1991,1649,Bill & Ted's Bogus Journey,6.046314239501953
Michael McGowan,2004,25248,Saint Ralph,6.122766971588135
Erik Canuel,2006,15049,Bon Cop Bad Cop,6.110369682312012
John Stainton,2002,17043,The Crocodile Hunter: Collision Course,6.066143035888672
Travis Zariwny,2016,298584,Cabin Fever,5.91764497756958
Laurent Tirard,2009,31203,Little Nicholas,6.046545505523682
Laurent Tirard,2007,21494,Moliere,6.120498180389404
Ron Howard,2015,205775,In the Heart of the Sea,6.325494289398193
Ron Howard,2013,96721,Rush,7.223850250244141
Ron Howard,2011,44564,The Dilemma,5.878289699554443
Ron Howard,2009,13448,Angels & Demons,6.3736982345581055
Ron Howard,2008,11499,Frost/Nixon,6.3753533363342285
Ron Howard,2006,591,The Da Vinci Code,6.393524646759033
Ron Howard,2005,921,Cinderella Man,6.5652570724487305
Ron Howard,2001,453,A Beautiful Mind,7.311688423156738
Ron Howard,2000,8871,How the Grinch Stole Christmas,6.15636682510376
Ron Howard,1999,11374,Edtv,6.035271167755127
Ron Howard,1996,3595,Ransom,6.194177627563477
Ron Howard,1995,568,Apollo 13,6.847607612609863
Ron Howard,1984,2619,Splash,6.094984531402588
Spike Lee,2014,278316,Da Sweet Blood of Jesus,6.066646099090576
Spike Lee,2008,12412,Miracle at St. Anna,6.111039161682129
Spike Lee,2006,388,Inside Man,6.853024482727051
Spike Lee,2002,1429,25th Hour,6.531662464141846
Spike Lee,2000,23618,The Original Kings of Comedy,6.0964884757995605
Spike Lee,2000,24664,Bamboozled,6.098351955413818
Spike Lee,1999,10279,Summer of Sam,6.114920616149902
