release_year,popularity,movie_id,title
1982,3.6564910411834717,24266,The Man from Snowy River
1982,1.1101789474487305,27380,Megaforce
1982,1.0636149644851685,34697,Butterfly
1982,0.8053119778633118,3028,Jekyll and Hyde ... Together Again
1981,68.15959930419922,85,Raiders of the Lost Ark
1981,37.11736297607422,8810,Mad Max 2: The Road Warrior
1981,35.03762435913086,764,The Evil Dead
1981,26.967493057250977,387,Das Boot
1981,26.09074592590332,699,For Your Eyes Only
1981,24.35130500793457,1103,Escape from New York
1981,16.517776489257812,9725,Friday the 13th Part 2
1981,14.779537200927734,36819,Time Bandits
1981,14.28231430053711,10156,History of the World: Part I
1981,13.62860107421875,11644,Blow Out
1981,12.928269386291504,11827,Heavy Metal
1981,12.891276359558105,10246,Porky's
1981,11.725805282592773,38665,The Legend of the Lone Ranger
1981,10.8923978805542,10890,Stripes
1981,10.439970970153809,9443,Chariots of Fire
1981,8.067702293395996,25113,The Four Seasons
1981,8.022122383117676,19204,The Beyond
1981,7.058867931365967,21610,Nighthawks
1981,6.803762912750244,11027,The Postman Always Rings Twice
1981,6.537985801696777,62204,Quest for Fire
1981,6.532855033874512,11298,The Howling
1981,4.602184772491455,18254,Reds
1981,4.293705940246582,16471,Modern Problems
1981,3.2584218978881836,848,Dragonslayer
1981,3.1028618812561035,15660,Mommie Dearest
1981,2.8649790287017822,26843,Lion of the Desert
1981,1.4521989822387695,27420,Graduation Day
1981,1.3796429634094238,45226,The Pursuit of D.B. Cooper
1981,1.1564099788665771,2989,Roar
1981,0.5180559754371643,73247,Heartbeeps
1981,0.3105129897594452,47890,Sphinx
1981,0.1739639937877655,47941,Under the Rainbow
1981,0.1467829942703247,113464,Inchon
1954,39.75674819946289,346,Seven Samurai
1954,16.01559829711914,654,On the Waterfront
1954,9.358197212219238,173,"20,000 Leagues Under the Sea"
1954,4.079111099243164,24973,The Egyptian
2014,724.247802734375,157336,Interstellar
2014,481.0986328125,118340,Guardians of the Galaxy
2014,243.791748046875,119450,Dawn of the Planet of the Apes
2014,206.22715759277344,131631,The Hunger Games: Mockingjay - Part 1
2014,203.73458862304688,177572,Big Hero 6
2014,192.52883911132812,244786,Whiplash
2014,145.36459350585938,205596,The Imitation Game
2014,143.35037231445312,98566,Teenage Mutant Ninja Turtles
2014,143.0415496826172,210577,Gone Girl
2014,139.57508850097656,228150,Fury
2014,131.81558227539062,198663,The Maze Runner
2014,120.96574401855469,122917,The Hobbit: The Battle of the Five Armies
2014,118.07868957519531,127585,X-Men: Days of Future Past
2014,116.84029388427734,91314,Transformers: Age of Extinction
2014,115.5977554321289,181533,Night at the Museum: Secret of the Tomb
2014,115.24199676513672,240832,Lucy
2014,110.62064361572266,102651,Maleficent
2014,101.59942626953125,147441,Exodus: Gods and Kings
2014,100.21391296386719,82702,How to Train Your Dragon 2
2014,89.8111572265625,194662,Birdman
2014,89.27021789550781,102382,The Amazing Spider-Man 2
2014,89.09553527832031,242582,Nightcrawler
2014,88.84477996826172,260346,Taken 3
2014,87.53437042236328,190859,American Sniper
2014,85.42839813232422,189,Sin City: A Dame to Kill For
2014,84.36698150634766,270946,Penguins of Madagascar
2014,83.2957992553711,225574,Non-Stop
2014,82.97583770751953,238636,The Purge: Anarchy
2014,82.1852798461914,227159,Horrible Bosses 2
2014,80.31645965576172,157350,Divergent
2014,79.92205810546875,156022,The Equalizer
2014,79.45648193359375,137113,Edge of Tomorrow
2014,76.84224700927734,184315,Hercules
2014,74.4174575805664,120467,The Grand Budapest Hotel
2014,74.35897064208984,222935,The Fault in Our Stars
2014,74.16801452636719,228967,The Interview
2014,72.64129638671875,225886,Sex Tape
2014,72.22526550292969,100402,Captain America: The Winter Soldier
2014,71.5105972290039,53182,300: Rise of an Empire
2014,70.6689224243164,193893,Let's Be Cops
2014,67.76778411865234,100042,Dumb and Dumber To
2014,66.75786590576172,97020,RoboCop
2014,65.901611328125,224141,Into the Woods
2014,64.45794677734375,49017,Dracula Untold
2014,63.62845993041992,68737,Seventh Son
2014,61.30961990356445,169917,A Walk Among the Tombstones
2014,61.18233108520508,266856,The Theory of Everything
2014,61.025638580322266,138103,The Expendables 3
2014,60.2252197265625,250546,Annabelle
2014,59.54792785644531,137106,The Lego Movie
2014,58.99138641357422,157353,Transcendence
2014,56.30466079711914,242512,Ouija
2014,54.81489181518555,136797,Need for Speed
2014,53.81146240234375,227156,The Giver
2014,52.3809814453125,187017,22 Jump Street
2014,50.56184768676758,76649,Pompeii
2014,49.80850601196289,262543,Automata
2014,48.784732818603516,204922,Before I Go to Sleep
2014,46.11575698852539,86834,Noah
2014,45.742218017578125,171274,Inherent Vice
2014,45.31727981567383,254904,The November Man
2014,44.12032699584961,232672,Blended
2014,43.87326431274414,152760,The Monuments Men
2014,43.791744232177734,239563,St. Vincent
2014,43.40351867675781,85350,Boyhood
2014,43.05525207519531,227306,Unbroken
2014,42.95294189453125,228970,Wild
2014,42.53825759887695,137094,Jack Ryan: Shadow Recruit
2014,42.47232437133789,205587,The Judge
2014,42.40024185180664,172385,Rio 2
2014,41.63896179199219,192102,3 Days to Kill
2014,39.88227462768555,116149,Paddington
2014,38.73493957519531,82703,Mr. Peabody & Sherman
2014,37.82110595703125,225565,That Awkward Moment
2014,37.629310607910156,241239,A Most Violent Year
2014,37.555397033691406,244267,I Origins
2014,36.471229553222656,195589,Neighbors
2014,35.30757522583008,284293,Still Alice
2014,34.89099884033203,228326,The Book of Life
2014,34.51963424682617,193610,The Other Woman
2014,33.93914031982422,239571,The Best of Me
2014,33.45246887207031,218043,Left Behind
2014,33.439186096191406,196867,Annie
2014,32.80867385864258,188161,A Million Ways to Die in the West
2014,31.32473373413086,100241,"I, Frankenstein"
2014,31.162837982177734,249164,If I Stay
2014,30.65634536743164,170687,The Boxtrolls
2014,29.782161712646484,97370,Under the Skin
2014,29.359201431274414,184346,Deliver Us from Evil
2014,29.023183822631836,273895,Selma
2014,28.570173263549805,87093,Big Eyes
2014,28.468000411987305,168530,Ride Along
2014,27.90399932861328,144336,Sabotage
2014,27.8984375,228194,The Hundred-Foot Journey
2014,27.662696838378906,242095,The Signal
2014,27.25684928894043,226857,Endless Love
2014,26.708192825317383,157849,A Most Wanted Man
2014,26.510557174682617,256274,"As Above, So Below"
2014,25.52097511291504,254473,Brick Mansions
2014,25.34975814819336,188166,Blue Ruin
2014,25.302978515625,304410,The Bélier Family
2014,25.112567901611328,255343,Escobar: Paradise Lost
2014,25.020427703857422,188207,The Legend of Hercules
2014,24.656068801879883,136835,No Good Deed
2014,22.987897872924805,157847,Joe
2014,22.736038208007812,137321,Winter's Tale
2014,22.622453689575195,284536,The Gambler
2014,22.145950317382812,218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
2014,22.09628677368164,256917,The Water Diviner
2014,21.657562255859375,226486,Tammy
2014,21.638673782348633,241254,The Prince
2014,21.343093872070312,245916,Kill the Messenger
2014,20.591480255126953,264656,The Homesman
2014,20.566553115844727,216282,Into the Storm
2014,20.311683654785156,239678,This Is Where I Leave You
2014,19.98447608947754,227348,Paranormal Activity: The Marked Ones
2014,18.568021774291992,227783,The Nut Job
2014,18.428909301757812,184345,A Haunted House 2
2014,17.84516143798828,171424,The Green Inferno
2014,17.371326446533203,238603,Earth to Echo
