actor_name,movie_id,release_year,title
Chester Conklin,3082,1936,Modern Times
Michael Rapaport,319,1993,True Romance
Michael Rapaport,2142,1997,Cop Land
Michael Rapaport,8452,2000,The 6th Day
Michael Rapaport,8914,1999,Deep Blue Sea
Michael Rapaport,10569,2000,Small Time Crooks
Michael Rapaport,10783,2000,Lucky Numbers
Michael Rapaport,13856,2006,Special
Michael Rapaport,23570,1996,The Pallbearer
Michael Rapaport,24664,2000,Bamboozled
Michael Rapaport,113406,2012,Should've Been Romeo
Michael Rapaport,136795,2013,The Heat
Michael Rapaport,256962,2015,Little Boy
Michael Rapaport,294600,2013,Last I Heard
Melanie Griffith,2989,1981,Roar
Melanie Griffith,11507,1984,Body Double
Melanie Griffith,14195,2000,Cecil B. Demented
Melanie Griffith,31306,1999,Crazy in Alabama
Melanie Griffith,49953,2010,A Turtle's Tale: Sammy's Adventures
Glenn Ford,248,1961,Pocketful of Miracles
Lauren Cohan,321258,2016,The Boy
Sherilyn Fenn,10017,1986,The Wraith
Sherilyn Fenn,356483,2015,Unnatural
Beau Sia,37532,1998,Slam
Chris Carlson,181940,2007,Carousel of Revenge
Adam Lamberg,18736,2003,The Lizzie McGuire Movie
Angela Bettis,10391,2000,Bless the Child
Angela Bettis,10894,2002,May
Skyler Shaye,31117,2004,Superbabies: Baby Geniuses 2
Ted Knight,11977,1980,Caddyshack
Michelle Burke,9571,1993,Dazed and Confused
Tone Loc,3049,1994,Ace Ventura: Pet Detective
Sunny Johnson,535,1983,Flashdance
Danny Woodburn,157058,2013,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo
Tong Dawei,76758,2011,The Flowers of War
Harvey Korman,10156,1981,History of the World: Part I
Harvey Korman,11072,1974,Blazing Saddles
Harvey Korman,12535,1977,High Anxiety
Mélanie Doutey,10930,2003,The Flower of Evil
Catherine Florent,50538,2003,Evil Words
Jason Lewis,10425,2007,The Death and Life of Bobby Z
Jason Lewis,41469,1998,Next Stop Wonderland
Lenny Von Dohlen,13121,2007,Teeth
Elvis Polanski,72113,2011,Carnage
Helen Hayes,22649,1932,A Farewell to Arms
Shameik Moore,308639,2015,Dope
Augustus Prew,37950,2010,Charlie St. Cloud
Jackie Chan,1729,2008,The Forbidden Kingdom
Jackie Chan,5174,2007,Rush Hour 3
Jackie Chan,5175,2001,Rush Hour 2
Jackie Chan,6038,2003,Shanghai Knights
Jackie Chan,8584,2000,Shanghai Noon
Jackie Chan,9502,2008,Kung Fu Panda
Jackie Chan,10204,2004,Around the World in 80 Days
Jackie Chan,10610,2003,The Medallion
Jackie Chan,10622,1997,Mr. Nice Guy
Jackie Chan,10674,1998,Mulan
Jackie Chan,10771,2002,The Tuxedo
Jackie Chan,12207,1994,The Legend of Drunken Master
Jackie Chan,20083,2009,Shinjuku Incident
Jackie Chan,23172,2010,The Spy Next Door
Jackie Chan,33542,1995,Rumble in the Bronx
Jackie Chan,49444,2011,Kung Fu Panda 2
Jackie Chan,76349,2011,1911
Jackie Chan,78149,1998,"An Alan Smithee Film: Burn, Hollywood, Burn"
Jackie Chan,300168,2015,Dragon Blade
Joshua Harto,4012,2001,The Believer
Shirley Temple,60400,1940,The Blue Bird
Katie Parker,74777,2011,Absentia
Rhett Wilkins,24055,2005,The Puffy Chair
Vanessa Evigan,76706,2010,Christmas Mail
James Tolkan,165,1989,Back to the Future Part II
Clifton James,253,1973,Live and Let Die
Clifton James,57022,2002,Sunshine State
Micah Alberti,27588,2009,Forget Me Not
Mara Hobel,15660,1981,Mommie Dearest
Eva Allan,50037,2010,Beyond the Black Rainbow
Judith Novgrod,77156,1978,Alien Zone
Mario Cimarro,20406,2007,Rockaway
Daniel Buckland,22600,2008,Gangster's Paradise: Jerusalema
Simon Chandler,1427,2006,Perfume: The Story of a Murderer
Takeshi Kaneshiro,9550,2004,House of Flying Daggers
Takeshi Kaneshiro,12289,2008,Red Cliff
Takeshi Kaneshiro,14392,2007,The Warlords
Lazar Ristovski,173224,2013,Along the Roadside
DJ Flava,55420,2011,Another Earth
Péter Fancsikai,41508,2005,Fateless
Mia Drake Inderbitzin,12405,2008,Slumdog Millionaire
Sara Forestier,50848,2010,The Names of Love
William Atherton,616,2003,The Last Samurai
William Atherton,1573,1990,Die Hard 2
William Atherton,9944,1993,The Pelican Brief
Christopher Martin,16096,1991,House Party 2
Kirk Hammett,193613,2013,Metallica: Through the Never
Charlie Schlatter,257932,2014,Dragon Nest: Warriors' Dawn
Donny Alamsyah,94329,2011,The Raid
Stan Alexander,3170,1942,Bambi
Tyler Hinman,35199,2006,Wordplay
Adam Herschman,14655,2008,Soul Men
Ben Burtt,10681,2008,WALL·E
Leigh Lawson,18701,2004,Being Julia
Valerie Meachum,228550,2011,Raymond Did It
Audrey Devereal,33468,1962,The Brain That Wouldn't Die
Nia Long,9600,2000,Big Momma's House
Nia Long,9963,2007,Premonition
Nia Long,10307,1999,Stigmata
Nia Long,10634,1995,Friday
